"Χρονική σήμανση","Πότε θέλετε να συναντηθούμε;"
"2017/04/20 2:54:53 μ.μ. GMT+3","Κυριακή 6 Μαΐου 18:00 απόγευμα"
"2017/04/20 3:31:08 μ.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/20 3:31:12 μ.μ. GMT+3","Κυριακή 7 Μαΐου 18:00 απόγευμα"
"2017/04/20 3:37:38 μ.μ. GMT+3","Κυριακή 7 Μαΐου 18:00 απόγευμα"
"2017/04/20 4:56:23 μ.μ. GMT+3","Κυριακή 21 Μαΐου 12:00 μεσιμέρι"
"2017/04/20 5:03:06 μ.μ. GMT+3","Κυριακή 7 Μαΐου 18:00 απόγευμα"
"2017/04/20 5:29:07 μ.μ. GMT+3","Κυριακή 27 Μαΐου 18:00 απόγευμα"
"2017/04/20 6:12:27 μ.μ. GMT+3","Κυριακή 7 Μαΐου 18:00 απόγευμα"
"2017/04/20 7:24:06 μ.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/20 11:31:00 μ.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/20 11:33:54 μ.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/20 11:34:02 μ.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/20 11:34:07 μ.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/20 11:34:12 μ.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/20 11:34:50 μ.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/20 11:35:47 μ.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/20 11:37:53 μ.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/20 11:37:57 μ.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/20 11:38:03 μ.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/21 12:14:33 π.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/21 12:27:39 π.μ. GMT+3","Κυριακη 27 Μαΐου 12:00 μεσιμέρι"
"2017/04/21 2:33:26 π.μ. GMT+3","Κυριακή 21 Μαΐου 18:00 απόγευμα"
"2017/04/21 7:08:47 π.μ. GMT+3","Κυριακή 7 Μαΐου 18:00 απόγευμα"
"2017/04/21 2:23:16 μ.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/21 7:57:39 μ.μ. GMT+3","Κυριακή 21 Μαΐου 12:00 μεσιμέρι"
"2017/04/21 10:01:38 μ.μ. GMT+3","Κυριακή 27 Μαΐου 18:00 απόγευμα"
"2017/04/21 10:08:37 μ.μ. GMT+3","Κυριακή 21 Μαΐου 18:00 απόγευμα"
"2017/04/22 12:11:19 π.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 12:51:32 π.μ. GMT+3","Κυριακή 27 Μαΐου 18:00 απόγευμα"
"2017/04/22 12:51:38 π.μ. GMT+3","Κυριακή 27 Μαΐου 18:00 απόγευμα"
"2017/04/22 12:51:45 π.μ. GMT+3","Κυριακη 27 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 9:51:14 π.μ. GMT+3","Κυριακή 27 Μαΐου 18:00 απόγευμα"
"2017/04/22 9:51:28 π.μ. GMT+3","Κυριακη 27 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 9:51:46 π.μ. GMT+3","Κυριακη 27 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 9:51:59 π.μ. GMT+3","Κυριακη 27 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 9:52:19 π.μ. GMT+3","Κυριακη 27 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 9:52:45 π.μ. GMT+3","Κυριακη 27 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 11:00:26 π.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 11:51:48 π.μ. GMT+3","Κυριακη 27 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 11:51:54 π.μ. GMT+3","Κυριακη 27 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 11:51:59 π.μ. GMT+3","Κυριακη 27 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 11:52:04 π.μ. GMT+3","Κυριακη 27 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 11:52:09 π.μ. GMT+3","Κυριακη 27 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 11:52:14 π.μ. GMT+3","Κυριακη 27 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 11:52:19 π.μ. GMT+3","Κυριακη 27 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 11:52:24 π.μ. GMT+3","Κυριακη 27 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 11:52:31 π.μ. GMT+3","Κυριακη 27 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 11:52:37 π.μ. GMT+3","Κυριακη 27 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 11:52:42 π.μ. GMT+3","Κυριακη 27 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 11:52:48 π.μ. GMT+3","Κυριακη 27 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 2:34:35 μ.μ. GMT+3","Κυριακή 7 Μαΐου 18:00 απόγευμα"
"2017/04/22 3:46:53 μ.μ. GMT+3","Κυριακη 28 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 3:46:59 μ.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 3:47:04 μ.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 3:47:09 μ.μ. GMT+3","Κυριακή 21 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 3:47:15 μ.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 3:47:20 μ.μ. GMT+3","Κυριακη 28 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 3:47:25 μ.μ. GMT+3","Κυριακή 28 Μαΐου 18:00 απόγευμα"
"2017/04/22 3:47:31 μ.μ. GMT+3","Κυριακή 28 Μαΐου 18:00 απόγευμα"
"2017/04/22 3:47:36 μ.μ. GMT+3","Κυριακη 28 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 5:52:39 μ.μ. GMT+3","Κυριακή 21 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 6:52:57 μ.μ. GMT+3","Κυριακή 21 Μαΐου 18:00 απόγευμα"
"2017/04/22 8:19:07 μ.μ. GMT+3","Κυριακή 28 Μαΐου 18:00 απόγευμα"
"2017/04/22 8:19:26 μ.μ. GMT+3","Κυριακή 28 Μαΐου 18:00 απόγευμα"
"2017/04/22 8:20:04 μ.μ. GMT+3","Κυριακή 28 Μαΐου 18:00 απόγευμα"
"2017/04/22 8:20:29 μ.μ. GMT+3","Κυριακη 28 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 8:20:53 μ.μ. GMT+3","Κυριακή 21 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 8:21:12 μ.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 8:27:08 μ.μ. GMT+3","Κυριακή 7 Μαΐου 18:00 απόγευμα"
"2017/04/22 8:27:48 μ.μ. GMT+3","Κυριακή 21 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 8:55:26 μ.μ. GMT+3","Κυριακή 28 Μαΐου 18:00 απόγευμα"
"2017/04/22 9:00:42 μ.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 9:01:05 μ.μ. GMT+3","Κυριακή 28 Μαΐου 18:00 απόγευμα"
"2017/04/22 9:05:32 μ.μ. GMT+3","Κυριακή 21 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 9:23:31 μ.μ. GMT+3","Κυριακή 28 Μαΐου 18:00 απόγευμα"
"2017/04/22 9:25:52 μ.μ. GMT+3","Κυριακή 21 Μαΐου 18:00 απόγευμα"
"2017/04/22 9:28:14 μ.μ. GMT+3","Κυριακη 28 Μαΐου 12:00 μεσιμέρι"
"2017/04/22 9:35:58 μ.μ. GMT+3","Κυριακή 28 Μαΐου 18:00 απόγευμα"
"2017/04/22 9:36:28 μ.μ. GMT+3","Κυριακή 7 Μαΐου 18:00 απόγευμα"
"2017/04/22 10:25:17 μ.μ. GMT+3","Κυριακή 21 Μαΐου 12:00 μεσιμέρι"
"2017/04/23 12:14:23 π.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/23 12:14:33 π.μ. GMT+3","Κυριακή 21 Μαΐου 18:00 απόγευμα"
"2017/04/23 12:14:42 π.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/23 12:14:48 π.μ. GMT+3","Κυριακη 28 Μαΐου 12:00 μεσιμέρι"
"2017/04/23 12:14:54 π.μ. GMT+3","Κυριακή 21 Μαΐου 12:00 μεσιμέρι"
"2017/04/23 12:14:59 π.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/23 12:15:03 π.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/23 12:15:08 π.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/23 12:15:14 π.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"
"2017/04/23 12:16:14 π.μ. GMT+3","Κυριακή 28 Μαΐου 18:00 απόγευμα"
"2017/04/23 12:16:34 π.μ. GMT+3","Κυριακή 28 Μαΐου 18:00 απόγευμα"
"2017/04/23 12:16:38 π.μ. GMT+3","Κυριακή 28 Μαΐου 18:00 απόγευμα"
"2017/04/23 12:16:42 π.μ. GMT+3","Κυριακή 28 Μαΐου 18:00 απόγευμα"
"2017/04/23 12:16:46 π.μ. GMT+3","Κυριακή 28 Μαΐου 18:00 απόγευμα"
"2017/04/23 12:16:50 π.μ. GMT+3","Κυριακη 28 Μαΐου 12:00 μεσιμέρι"
"2017/04/23 12:16:55 π.μ. GMT+3","Κυριακη 28 Μαΐου 12:00 μεσιμέρι"
"2017/04/23 12:16:59 π.μ. GMT+3","Κυριακη 28 Μαΐου 12:00 μεσιμέρι"
"2017/04/23 12:17:04 π.μ. GMT+3","Κυριακη 28 Μαΐου 12:00 μεσιμέρι"
"2017/04/23 12:17:08 π.μ. GMT+3","Κυριακη 28 Μαΐου 12:00 μεσιμέρι"
"2017/04/23 5:19:18 π.μ. GMT+3","Κυριακή 28 Μαΐου 18:00 απόγευμα"
"2017/04/23 11:18:15 π.μ. GMT+3","Κυριακή 21 Μαΐου 12:00 μεσιμέρι"
"2017/04/23 12:57:00 μ.μ. GMT+3","Κυριακή 21 Μαΐου 18:00 απόγευμα"
"2017/04/23 11:33:40 μ.μ. GMT+3","Κυριακή 7 Μαΐου 18:00 απόγευμα"
"2017/04/24 10:45:59 μ.μ. GMT+3","Κυριακή 28 Μαΐου 18:00 απόγευμα"
"2017/04/25 11:58:01 π.μ. GMT+3","Κυριακή 7 Μαΐου 12:00 μεσιμέρι"